Country:text,Period:text,Year:year,values:number
Spain,1992-2017,1993,693
Spain,1992-2017,1994,739
Spain,1992-2017,1995,656
Spain,1992-2017,1996,477
Spain,1992-2017,1997,437
Spain,1992-2017,1998,379
Spain,1992-2017,1999,461
Spain,1992-2017,2000,332
Spain,1992-2017,2001,281
Spain,1992-2017,2002,215
Spain,1992-2017,2003,232
Spain,1992-2017,2004,213
Spain,1992-2017,2005,245
Spain,1992-2017,2006,282
Spain,1992-2017,2007,228
Spain,1992-2017,2008,174
Spain,1992-2017,2009,97
Spain,1992-2017,2010,113
Spain,1992-2017,2011,103
Spain,1992-2017,2012,181
Spain,1992-2017,2013,123
Spain,1992-2017,2014,148
Spain,1992-2017,2015,154
Spain,1992-2017,2016,154
Spain,1992-2017,2017,154
Sweden,1992-2017,1992,51
Sweden,1992-2017,1993,67
Sweden,1992-2017,1994,48
Sweden,1992-2017,1995,44
Sweden,1992-2017,1996,70
Sweden,1992-2017,1997,60
Sweden,1992-2017,1998,44
Sweden,1992-2017,1999,49
Sweden,1992-2017,2000,38
Sweden,1992-2017,2001,50
Sweden,1992-2017,2002,51
Sweden,1992-2017,2003,67
Sweden,1992-2017,2004,56
Sweden,1992-2017,2005,58
Sweden,1992-2017,2006,62
Sweden,1992-2017,2007,44
Sweden,1992-2017,2008,35
Sweden,1992-2017,2009,40
Sweden,1992-2017,2010,49
Sweden,1992-2017,2011,47
Sweden,1992-2017,2012,39
Sweden,1992-2017,2013,38
Sweden,1992-2017,2014,37
Sweden,1992-2017,2015,35
Sweden,1992-2017,2016,35
Sweden,1992-2017,2017,35
United Kingdom,1992-2017,1992,62
United Kingdom,1992-2017,1993,93
United Kingdom,1992-2017,1994,108
United Kingdom,1992-2017,1995,150
United Kingdom,1992-2017,1996,135
United Kingdom,1992-2017,1997,99
United Kingdom,1992-2017,1998,74
United Kingdom,1992-2017,1999,86
United Kingdom,1992-2017,2000,60
United Kingdom,1992-2017,2001,81
United Kingdom,1992-2017,2002,59
United Kingdom,1992-2017,2003,76
United Kingdom,1992-2017,2004,84
United Kingdom,1992-2017,2005,79
United Kingdom,1992-2017,2006,47
United Kingdom,1992-2017,2007,37
United Kingdom,1992-2017,2008,44
United Kingdom,1992-2017,2009,35
United Kingdom,1992-2017,2010,47
United Kingdom,1992-2017,2011,30
United Kingdom,1992-2017,2012,31
United Kingdom,1992-2017,2013,37
